system time,topic,qos,message content
2024-05-19T14:44:13.345102241,$SYS/broker/bytes/received,2,1604
2024-05-19T14:44:13.345547922,$SYS/broker/bytes/sent,2,9878
2024-05-19T14:44:13.348057881,$SYS/broker/publish/bytes/sent,2,948
2024-05-19T14:44:24.376883936,$SYS/broker/uptime,2,132 seconds
2024-05-19T14:44:24.377611031,$SYS/broker/load/messages/received/1min,2,227.69
2024-05-19T14:44:24.378183904,$SYS/broker/load/messages/sent/1min,2,160.07
2024-05-19T14:44:24.378840376,$SYS/broker/load/publish/sent/1min,2,45.92
2024-05-19T14:44:24.379319904,$SYS/broker/load/bytes/received/1min,2,924.14
2024-05-19T14:44:24.379914448,$SYS/broker/load/bytes/sent/1min,2,2224.86
2024-05-19T14:44:24.380394472,$SYS/broker/load/sockets/1min,2,0.30
2024-05-19T14:44:24.381101881,$SYS/broker/load/connections/1min,2,0.30
2024-05-19T14:44:24.381612795,$SYS/broker/load/messages/received/5min,2,76.20
2024-05-19T14:44:24.382338291,$SYS/broker/load/messages/sent/5min,2,56.52
2024-05-19T14:44:24.382766983,$SYS/broker/load/publish/sent/5min,2,18.26
2024-05-19T14:44:24.383257846,$SYS/broker/load/bytes/received/5min,2,311.73
2024-05-19T14:44:24.383735526,$SYS/broker/load/bytes/sent/5min,2,866.65
2024-05-19T14:44:24.384284388,$SYS/broker/load/messages/received/15min,2,27.94
2024-05-19T14:44:24.384719106,$SYS/broker/load/messages/sent/15min,2,20.92
2024-05-19T14:44:24.385265288,$SYS/broker/load/publish/sent/15min,2,6.89
2024-05-19T14:44:24.385900321,$SYS/broker/load/bytes/received/15min,2,114.47
2024-05-19T14:44:24.386368950,$SYS/broker/load/bytes/sent/15min,2,325.86
2024-05-19T14:44:24.386826331,$SYS/broker/heap/current,2,46888
2024-05-19T14:44:24.387224498,$SYS/broker/messages/received,2,440
2024-05-19T14:44:24.422630701,$SYS/broker/messages/sent,2,460
2024-05-19T14:44:24.424379086,$SYS/broker/publish/messages/sent,2,239
2024-05-19T14:44:24.425255493,$SYS/broker/bytes/received,2,1804
2024-05-19T14:44:24.425674884,$SYS/broker/bytes/sent,2,11057
2024-05-19T14:44:24.426158177,$SYS/broker/publish/bytes/sent,2,1075
2024-05-19T14:44:35.345383017,$SYS/broker/uptime,2,143 seconds
2024-05-19T14:44:35.348504710,$SYS/broker/load/messages/received/1min,2,235.23
2024-05-19T14:44:35.349193541,$SYS/broker/load/messages/sent/1min,2,161.58
2024-05-19T14:44:35.351745206,$SYS/broker/load/publish/sent/1min,2,43.71
2024-05-19T14:44:35.352650731,$SYS/broker/load/bytes/received/1min,2,952.07
2024-05-19T14:44:35.354837585,$SYS/broker/load/bytes/sent/1min,2,2144.55
2024-05-19T14:44:35.357364577,$SYS/broker/load/sockets/1min,2,0.25
2024-05-19T14:44:35.358531698,$SYS/broker/load/connections/1min,2,0.25
2024-05-19T14:44:35.359691367,$SYS/broker/load/messages/received/5min,2,83.27
2024-05-19T14:44:35.361055127,$SYS/broker/load/messages/sent/5min,2,60.57
2024-05-19T14:44:35.361697482,$SYS/broker/load/publish/sent/5min,2,18.78
2024-05-19T14:44:35.362584141,$SYS/broker/load/bytes/received/5min,2,339.78
2024-05-19T14:44:35.363053839,$SYS/broker/load/bytes/sent/5min,2,898.28
2024-05-19T14:44:35.363529912,$SYS/broker/load/messages/received/15min,2,30.91
2024-05-19T14:44:35.363971258,$SYS/broker/load/messages/sent/15min,2,22.72
2024-05-19T14:44:35.365309862,$SYS/broker/load/publish/sent/15min,2,7.20
2024-05-19T14:44:35.365804237,$SYS/broker/load/bytes/received/15min,2,126.33
2024-05-19T14:44:35.366391351,$SYS/broker/load/bytes/sent/15min,2,343.11
2024-05-19T14:44:35.366815273,$SYS/broker/store/messages/bytes,2,219
2024-05-19T14:44:35.368313410,$SYS/broker/heap/current,2,46944
2024-05-19T14:44:35.403790446,$SYS/broker/messages/received,2,490
2024-05-19T14:44:35.404780785,$SYS/broker/messages/sent,2,510
2024-05-19T14:44:35.405131987,$SYS/broker/publish/messages/sent,2,264
2024-05-19T14:44:35.405472054,$SYS/broker/bytes/received,2,2004
2024-05-19T14:44:35.405742368,$SYS/broker/bytes/sent,2,12241
2024-05-19T14:44:35.406103676,$SYS/broker/publish/bytes/sent,2,1204
2024-05-19T14:44:46.327672217,$SYS/broker/uptime,2,154 seconds
2024-05-19T14:44:46.328637495,$SYS/broker/load/messages/received/1min,2,243.34
2024-05-19T14:44:46.329639455,$SYS/broker/load/messages/sent/1min,2,164.67
2024-05-19T14:44:46.331017481,$SYS/broker/load/publish/sent/1min,2,42.79
2024-05-19T14:44:46.331924880,$SYS/broker/load/bytes/received/1min,2,982.64
2024-05-19T14:44:46.334676695,$SYS/broker/load/bytes/sent/1min,2,2116.07
2024-05-19T14:44:46.335466251,$SYS/broker/load/sockets/1min,2,0.21
2024-05-19T14:44:46.336199522,$SYS/broker/load/connections/1min,2,0.21
2024-05-19T14:44:46.337288724,$SYS/broker/load/messages/received/5min,2,90.49
2024-05-19T14:44:46.338027827,$SYS/broker/load/messages/sent/5min,2,64.87
2024-05-19T14:44:46.339060035,$SYS/broker/load/publish/sent/5min,2,19.48
2024-05-19T14:44:46.339764821,$SYS/broker/load/bytes/received/5min,2,368.39
2024-05-19T14:44:46.340277936,$SYS/broker/load/bytes/sent/5min,2,937.03
2024-05-19T14:44:46.357687160,$SYS/broker/load/messages/received/15min,2,33.98
2024-05-19T14:44:46.358366147,$SYS/broker/load/messages/sent/15min,2,24.63
2024-05-19T14:44:46.358839624,$SYS/broker/load/publish/sent/15min,2,7.58
2024-05-19T14:44:46.359462273,$SYS/broker/load/bytes/received/15min,2,138.58
2024-05-19T14:44:46.359885643,$SYS/broker/load/bytes/sent/15min,2,362.92
2024-05-19T14:44:46.360327873,$SYS/broker/heap/current,2,46888
2024-05-19T14:44:46.360704108,$SYS/broker/messages/received,2,542
2024-05-19T14:44:46.379312574,$SYS/broker/messages/sent,2,562
2024-05-19T14:44:46.380131607,$SYS/broker/publish/messages/sent,2,290
2024-05-19T14:44:46.380555237,$SYS/broker/bytes/received,2,2212
2024-05-19T14:44:46.380857300,$SYS/broker/bytes/sent,2,13464
2024-05-19T14:44:46.381140282,$SYS/broker/publish/bytes/sent,2,1336
2024-05-19T14:44:57.304836993,$SYS/broker/uptime,2,165 seconds
2024-05-19T14:44:57.305375006,$SYS/broker/load/messages/received/1min,2,248.26
2024-05-19T14:44:57.306238833,$SYS/broker/load/messages/sent/1min,2,165.41
2024-05-19T14:44:57.307977190,$SYS/broker/load/publish/sent/1min,2,41.10
2024-05-19T14:44:57.308676920,$SYS/broker/load/bytes/received/1min,2,1000.78
2024-05-19T14:44:57.309333169,$SYS/broker/load/bytes/sent/1min,2,2053.99
2024-05-19T14:44:57.311441562,$SYS/broker/load/sockets/1min,2,0.18
2024-05-19T14:44:57.311765027,$SYS/broker/load/connections/1min,2,0.18
2024-05-19T14:44:57.312129932,$SYS/broker/load/messages/received/5min,2,97.05
2024-05-19T14:44:57.312657093,$SYS/broker/load/messages/sent/5min,2,68.62
2024-05-19T14:44:57.313085111,$SYS/broker/load/publish/sent/5min,2,19.96
2024-05-19T14:44:57.313434199,$SYS/broker/load/bytes/received/5min,2,394.41
2024-05-19T14:44:57.313749052,$SYS/broker/load/bytes/sent/5min,2,966.14
2024-05-19T14:44:57.314122775,$SYS/broker/load/messages/received/15min,2,36.88
2024-05-19T14:44:57.314528387,$SYS/broker/load/messages/sent/15min,2,26.39
2024-05-19T14:44:57.314863212,$SYS/broker/load/publish/sent/15min,2,7.88
2024-05-19T14:44:57.315191597,$SYS/broker/load/bytes/received/15min,2,150.15
2024-05-19T14:44:57.315537568,$SYS/broker/load/bytes/sent/15min,2,379.72
2024-05-19T14:44:57.315989217,$SYS/broker/store/messages/bytes,2,220
2024-05-19T14:44:57.317404061,$SYS/broker/heap/current,2,46944
2024-05-19T14:44:57.355905429,$SYS/broker/messages/received,2,592
2024-05-19T14:44:57.357181506,$SYS/broker/messages/sent,2,612
2024-05-19T14:44:57.358003955,$SYS/broker/publish/messages/sent,2,315
2024-05-19T14:44:57.358874080,$SYS/broker/bytes/received,2,2412
2024-05-19T14:44:57.360025237,$SYS/broker/bytes/sent,2,14649
2024-05-19T14:44:57.361259799,$SYS/broker/publish/bytes/sent,2,1466
2024-05-19T14:45:08.384839425,$SYS/broker/uptime,2,176 seconds
2024-05-19T14:45:08.385784099,$SYS/broker/load/messages/received/1min,2,254.19
2024-05-19T14:45:08.386327163,$SYS/broker/load/messages/sent/1min,2,167.85
2024-05-19T14:45:08.386793847,$SYS/broker/load/publish/sent/1min,2,40.61
2024-05-19T14:45:08.388077050,$SYS/broker/load/bytes/received/1min,2,1023.18
2024-05-19T14:45:08.388483306,$SYS/broker/load/bytes/sent/1min,2,2040.68
2024-05-19T14:45:08.388799563,$SYS/broker/load/sockets/1min,2,0.15
2024-05-19T14:45:08.389273591,$SYS/broker/load/connections/1min,2,0.15
2024-05-19T14:45:08.389737704,$SYS/broker/load/messages/received/5min,2,103.77
2024-05-19T14:45:08.390264325,$SYS/broker/load/messages/sent/5min,2,72.63
2024-05-19T14:45:08.390931520,$SYS/broker/load/publish/sent/5min,2,20.62
2024-05-19T14:45:08.391524728,$SYS/broker/load/bytes/received/5min,2,421.05
2024-05-19T14:45:08.392003513,$SYS/broker/load/bytes/sent/5min,2,1002.44
2024-05-19T14:45:08.393354862,$SYS/broker/load/messages/received/15min,2,39.88
2024-05-19T14:45:08.393938282,$SYS/broker/load/messages/sent/15min,2,28.25
2024-05-19T14:45:08.394551428,$SYS/broker/load/publish/sent/15min,2,8.25
2024-05-19T14:45:08.394957641,$SYS/broker/load/bytes/received/15min,2,162.11
2024-05-19T14:45:08.395440154,$SYS/broker/load/bytes/sent/15min,2,399.09
2024-05-19T14:45:08.395853506,$SYS/broker/store/messages/bytes,2,222
2024-05-19T14:45:08.396426204,$SYS/broker/messages/received,2,644
2024-05-19T14:45:08.434638698,$SYS/broker/messages/sent,2,664
2024-05-19T14:45:08.440108538,$SYS/broker/publish/messages/sent,2,341
2024-05-19T14:45:08.440693713,$SYS/broker/bytes/received,2,2620
2024-05-19T14:45:08.441060781,$SYS/broker/bytes/sent,2,15881
2024-05-19T14:45:08.441361877,$SYS/broker/publish/bytes/sent,2,1599
2024-05-19T14:45:19.375044154,$SYS/broker/uptime,2,187 seconds
2024-05-19T14:45:19.378456104,$SYS/broker/load/messages/received/1min,2,257.29
2024-05-19T14:45:19.379483727,$SYS/broker/load/messages/sent/1min,2,168.06
2024-05-19T14:45:19.383409774,$SYS/broker/load/publish/sent/1min,2,39.29
